iid,age,gender,race,imprace,imprelig,goal,date,go_out,career_c,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga
32,27.0,0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,0.0,40.0,7.316911617676465,31.610603435343535,7.5,0.0,0.0,70.0,0.0,0.0,7.5,0.0,1.5608597264851731,7.0,6.5,9.0,9.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,1.0,5.0,9.0,5.0,5.0,1.0,2.0,4.0,9.0,6.0,6.0,7.0,5.0,8.0,10.0,9.0
33,30.0,0,2.0,4.0,8.0,6.0,6.0,1.0,6.0,4.0,0.0,30.0,20.0,30.0,10.0,0.0,10.0,70.0,1.0,1.0,7.5,1.0,1.5608597264851731,6.0,8.0,8.0,6.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,6.0,10.0,7.0,8.0,6.0,6.0,8.0,6.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0
34,21.0,0,4.0,2.0,2.0,1.0,6.0,2.0,7.0,6.0,5.0,30.0,7.316911617676465,30.0,15.0,15.0,5.0,20.0,20.0,25.0,20.0,5.0,10.0,7.0,7.0,7.0,7.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,7.0
35,25.0,0,2.0,9.0,7.0,1.0,6.0,3.0,7.0,7.0,8.0,20.0,23.0,23.0,22.0,7.0,5.0,40.0,10.0,15.0,15.0,10.0,10.0,8.0,9.0,9.0,9.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0
36,26.0,0,2.0,7.0,8.0,2.0,5.0,2.0,4.0,6.0,8.0,20.0,25.0,20.0,15.0,15.0,5.0,40.0,5.0,10.0,27.5,5.0,10.0,8.0,7.0,8.0,8.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,7.0,5.0,1.0
37,27.0,0,2.0,5.0,8.0,2.0,6.0,2.0,7.0,7.0,3.0,10.0,10.0,30.0,25.0,10.0,15.0,30.0,10.0,15.0,20.0,10.0,15.0,7.0,8.0,9.0,7.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,7.0,4.0,9.0
38,23.0,0,1.0,8.0,1.0,1.0,4.0,3.0,1.0,2.0,12.0,40.0,10.0,20.0,10.0,10.0,0.0,70.0,5.0,5.0,15.0,0.0,5.0,8.0,6.5,8.0,7.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,7.0,2.0,7.0,10.0,2.625,2.0,7.0,4.0,7.0,4.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0
39,24.0,0,3.0,6.0,4.0,5.0,6.0,4.0,1.0,2.0,5.0,20.0,20.0,20.0,15.0,15.0,10.0,55.0,5.0,10.0,15.0,5.0,10.0,6.0,9.0,8.0,6.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0
40,25.0,1,4.0,9.0,6.0,2.0,7.0,6.0,6.0,3.0,2.0,25.0,20.0,25.0,20.0,10.0,0.0,40.0,0.0,30.0,20.0,10.0,1.5608597264851731,3.0,10.0,9.0,8.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,10.0,4.0,2.0
41,30.0,1,4.0,1.0,1.0,2.0,6.0,5.0,1.0,7.0,3.0,30.0,20.0,10.0,27.5,0.0,10.0,40.0,30.0,0.0,27.5,0.0,1.5608597264851731,5.0,7.0,8.0,5.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0
42,23.0,1,4.0,1.0,6.0,2.0,7.0,4.0,5.0,6.0,3.0,20.0,25.0,20.0,15.0,10.0,10.0,25.0,10.0,10.0,27.5,5.0,20.0,6.0,9.0,8.0,6.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.375,5.0,2.0,1.0
43,24.0,1,2.0,1.0,1.0,6.0,6.0,3.0,2.0,3.0,1.0,25.0,27.60985302939412,30.0,10.0,0.0,0.0,20.0,25.0,20.0,20.0,5.0,10.0,3.0,8.0,7.0,4.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,5.0,2.0,1.0
44,24.0,1,2.0,3.0,3.0,1.0,3.0,1.0,2.0,7.0,5.0,25.0,15.0,25.0,25.0,15.0,15.0,50.0,5.0,15.0,20.0,5.0,5.0,7.0,9.0,9.0,8.0,9.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,4.0,8.0,4.0,6.0,8.0
45,28.0,1,2.0,6.0,6.0,2.0,6.0,3.0,7.0,7.0,7.0,25.0,15.0,25.0,15.0,0.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,7.0,8.0,8.0,6.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0
46,26.0,1,2.0,2.0,3.0,2.0,6.0,2.0,7.0,7.0,8.0,20.0,27.60985302939412,20.0,10.0,10.0,5.0,20.0,20.0,20.0,25.0,5.0,10.0,7.0,8.0,7.0,5.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0
47,30.0,1,2.0,2.0,2.0,1.0,6.0,1.0,2.0,8.0,6.0,20.0,20.0,25.0,25.0,5.0,5.0,25.0,20.0,20.0,15.0,15.0,5.0,8.0,7.0,9.0,9.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,7.0,2.0,8.0,7.0,6.0,3.0,7.0,4.0,7.0,4.0,5.0,8.0,8.0,7.0,2.0,1.0
48,22.0,1,2.0,9.0,2.0,1.0,5.0,2.0,6.0,6.0,5.0,30.0,15.0,25.0,25.0,5.0,0.0,30.0,15.0,25.0,25.0,5.0,1.5608597264851731,7.0,9.0,7.0,6.0,6.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,3.0,1.0,6.0,7.0,7.0,8.0,1.0,5.0,8.0,4.0,6.0,10.0,10.0,6.0,8.0,6.0,2.0
49,25.0,1,4.0,1.0,3.0,1.0,3.0,2.0,7.0,6.0,4.0,20.0,20.0,20.0,20.0,5.0,15.0,30.0,15.0,15.0,15.0,15.0,10.0,7.0,10.0,10.0,10.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,5.0,6.0,5.0,8.0,2.0,7.0
50,27.0,1,1.0,4.0,4.0,6.0,6.0,2.0,1.0,5.0,7.0,35.0,10.0,20.0,15.0,10.0,10.0,60.0,10.0,5.0,7.5,10.0,10.0,8.0,9.0,10.0,9.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,10.0,3.0,8.0,5.0,3.0,4.0,3.0,10.0,5.0,6.0,8.0,10.0,7.0,10.0,6.0,2.0
51,23.0,1,2.0,5.0,10.0,1.0,5.0,3.0,1.0,3.0,2.0,25.0,10.0,31.610603435343535,15.0,0.0,15.0,25.0,5.0,15.0,20.0,25.5,5.0,6.0,8.0,10.0,4.0,4.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,1.0,6.0,2.375,4.0,2.0,1.0
52,21.0,1,2.0,10.0,9.0,1.0,4.0,1.0,1.0,5.0,1.0,15.0,20.0,15.0,27.5,5.0,15.0,10.0,15.0,20.0,20.0,25.0,10.0,5.0,8.0,8.0,6.0,7.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0
53,28.0,1,2.0,2.0,2.0,2.0,6.0,2.0,4.0,6.0,9.0,40.0,15.0,20.0,10.0,5.0,10.0,30.0,15.0,20.0,15.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0
54,28.0,1,2.0,1.0,1.0,5.0,5.0,1.0,7.0,7.0,5.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,30.0,10.0,20.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0
55,23.0,1,1.0,1.0,1.0,6.0,4.0,2.0,1.0,7.0,5.0,20.0,25.0,25.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0,20.0,10.0,6.0,10.0,9.0,10.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0
56,23.0,0,2.0,10.0,9.0,1.0,3.0,1.0,9.0,3.0,15.0,17.0,18.0,18.0,15.0,17.0,15.0,32.0,10.0,12.0,27.0,7.0,12.0,10.0,10.0,8.0,9.0,5.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0
57,22.0,0,2.0,10.0,10.0,3.0,5.0,2.0,9.0,9.0,12.0,10.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,20.0,20.0,20.0,10.0,6.0,10.0,9.0,10.0,10.0,25.0,14.285714285714285,15.0,19.148936170212767,10.0,14.142857142857142,7.0,8.0,8.0,8.0,8.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
